 acc ari nmi
0 0.6307 0.6307 0.6307
1 0.6268 0.6268 0.6268
2 0.6291 0.6291 0.6291
3 0.6302 0.6302 0.6302
4 0.6311 0.6311 0.6311
5 0.6319 0.6319 0.6319
6 0.6316 0.6316 0.6316
7 0.6314 0.6314 0.6314
8 0.6301 0.6301 0.6301
9 0.6301 0.6301 0.6301
10 0.6306 0.6306 0.6306
11 0.6308 0.6308 0.6308
12 0.6293 0.6293 0.6293
13 0.6299 0.6299 0.6299
14 0.6291 0.6291 0.6291
15 0.629 0.629 0.629
16 0.6301 0.6301 0.6301
17 0.6301 0.6301 0.6301
18 0.6307 0.6307 0.6307
19 0.6303 0.6303 0.6303
20 0.6304 0.6304 0.6304
21 0.6312 0.6312 0.6312
22 0.6329 0.6329 0.6329
23 0.6339 0.6339 0.6339
24 0.6335 0.6335 0.6335
25 0.6339 0.6339 0.6339
26 0.6352 0.6352 0.6352
27 0.636 0.636 0.636
28 0.6375 0.6375 0.6375
29 0.6382 0.6382 0.6382
30 0.6396 0.6396 0.6396
31 0.6408 0.6408 0.6408
32 0.6424 0.6424 0.6424
33 0.6437 0.6437 0.6437
34 0.645 0.645 0.645
35 0.6456 0.6456 0.6456
36 0.647 0.647 0.647
37 0.6482 0.6482 0.6482
38 0.6486 0.6486 0.6486
39 0.6493 0.6493 0.6493
40 0.6507 0.6507 0.6507
41 0.6524 0.6524 0.6524
42 0.653 0.653 0.653
43 0.6535 0.6535 0.6535
44 0.6542 0.6542 0.6542
45 0.6555 0.6555 0.6555
46 0.6566 0.6566 0.6566
47 0.6577 0.6577 0.6577
48 0.6588 0.6588 0.6588
49 0.6591 0.6591 0.6591
50 0.6603 0.6603 0.6603
51 0.6605 0.6605 0.6605
52 0.661 0.661 0.661
53 0.6615 0.6615 0.6615
54 0.6627 0.6627 0.6627
55 0.6636 0.6636 0.6636
56 0.6643 0.6643 0.6643
57 0.6657 0.6657 0.6657
58 0.6667 0.6667 0.6667
59 0.6668 0.6668 0.6668
60 0.6681 0.6681 0.6681
61 0.6688 0.6688 0.6688
62 0.6693 0.6693 0.6693
63 0.6698 0.6698 0.6698
64 0.6709 0.6709 0.6709
65 0.6716 0.6716 0.6716
66 0.6721 0.6721 0.6721
67 0.6734 0.6734 0.6734
68 0.6743 0.6743 0.6743
69 0.6749 0.6749 0.6749
70 0.6764 0.6764 0.6764
71 0.6766 0.6766 0.6766
72 0.6767 0.6767 0.6767
73 0.6773 0.6773 0.6773
74 0.6779 0.6779 0.6779
75 0.6785 0.6785 0.6785
76 0.6785 0.6785 0.6785
77 0.679 0.679 0.679
78 0.6797 0.6797 0.6797
79 0.6803 0.6803 0.6803
80 0.6804 0.6804 0.6804
{"batch_size": 256, "lr": 0.001, "alpha": 1.0, "n_epochs": 100, "tol": 0.001, "update_interval": 1, "num_classes": 10, "basic_num": 1, "conv1_outplanes": 32, "bolck1_outplanes": 64, "bolck2_outplanes": 128, "bolck3_outplanes": 256, "bolck4_outplanes": 512, "layers_num": 2, "maxpool_dr": 1, "pool_bool": 0, "n_init": 20, "interval": 1, "n_z": 2048}
